"q_id","q_name","group","q_catagory"
"SV_2rGzNmbcDFsW2HP","EAT_G2_Q01",2,"eat"
"SV_a5GmZ4jVYaNhRaJ","EAT_G2_Q02",2,"eat"
"SV_6EADcB4UiyAdJCR","EAT_G2_Q03",2,"eat"
"SV_2fUMR5ATvxVwqBD","EAT_G2_Q04",2,"eat"
"SV_3xQRFWfSKlc7t9H","EAT_G2_Q05",2,"eat"
"SV_8x1Yl176rmC4fbf","FPR_G2_Q01",2,"fpr"
"SV_73xfghdc8Bfd0q1","FPR_G2_Q02",2,"fpr"
"SV_38Wan7bENDlDka1","FPR_G2_Q03",2,"fpr"
"SV_81EbiNebuOpwgM5","FPR_G2_Q04",2,"fpr"
"SV_3pKgKPUw38IvtxX","FPR_G2_Q05",2,"fpr"
"SV_6nAOxeAy625hxnn","GEN_G2_G12",2,"gen"
"SV_5BjfU666nuCHMyN","GEN_G2_Q01",2,"gen"
"SV_86u6mOxcdaeyzwp","GEN_G2_Q02",2,"gen"
"SV_8FVqUeQVZ4kyGS9","GEN_G2_Q03",2,"gen"
"SV_5j9fEV6UTtmoxVz","GEN_G2_Q04",2,"gen"
"SV_9RcMbFV7zJzOfUF","GEN_G2_Q05",2,"gen"
"SV_3BN8n5MoJVYGTMF","GEN_G2_Q06",2,"gen"
"SV_3QQUzYrGWgDeXfD","GEN_G2_Q07",2,"gen"
"SV_3FbxJd60BALC0Ml","GEN_G2_Q08",2,"gen"
"SV_71BAQZzsp0DLyXH","GEN_G2_Q09",2,"gen"
"SV_cMiYvqM0cNpWwkZ","GEN_G2_Q10",2,"gen"
"SV_880g4kYVbpLmfLT","GEN_G2_Q11",2,"gen"
"SV_3UcLvQCZbKqsgrH","GEN_G2_Q13",2,"gen"
"SV_3mW14qxZrc2Owe1","GEN_G2_Q14",2,"gen"
"SV_39roaSImh1zBLlX","GEN_G2_Q15",2,"gen"
"SV_2uf6pYuNynLM5PT","GEN_G2_Q16",2,"gen"
"SV_aaAFIEjO5fwfyEl","GEN_G2_Q17",2,"gen"
"SV_8k013Z9r2wTb4Fv","GEN_G2_Q18",2,"gen"
"SV_eXUliplkmTIMdO5","GEN_G2_Q19",2,"gen"
"SV_3UHJtdgvltgujjv","GEN_G2_Q20",2,"gen"
"SV_9FEVfvjHJqXr6It","GEN_G2_Q21",2,"gen"
"SV_5dTfC3EJzFWciLH","GEN_G2_Q22",2,"gen"
"SV_6xIzxie9dSbkLyJ","GEN_G2_Q23",2,"gen"
"SV_3PfaGIxnoFK6ub3","GEN_G2_Q24",2,"gen"
"SV_1EW2CwKwUJ6yYvj","GEN_G2_Q25",2,"gen"
"SV_b8Fvelud1gXmjWt","GEN_G2_Q26",2,"gen"
"SV_57urXaBi7GE8dpP","GEN_G2_Q27",2,"gen"
"SV_bxhdXdcbeEOduBf","GEN_G2_Q28",2,"gen"
"SV_8jiX18RxctuVEQ5","GEN_G2_Q29",2,"gen"
"SV_6QfqVrVPO0oBcrz","GEN_G2_Q30",2,"gen"
"SV_9z8IxX7Oq8d3uXX","GEN_G2_Q31",2,"gen"
"SV_efCr1Ipv14eUouN","GEN_G2_Q32",2,"gen"
"SV_9WQiC8JY4iJjMah","GEN_G2_Q33",2,"gen"
"SV_cHXH3PQhIzUa1wx","GEN_G2_Q34",2,"gen"
"SV_38VnH3p5vUDR6S1","GEN_G2_Q35",2,"gen"
"SV_befyFgnKNmywvNX","GEN_G2_Q36",2,"gen"
"SV_41iWJHIAGXcFaPr","GEN_G2_Q37",2,"gen"
"SV_bp7MPsvuEsICVWR","GEN_G2_Q38",2,"gen"
"SV_0V2Q6HD2pkJQTCR","GEN_G2_Q39",2,"gen"
"SV_daSwM7YyWaalnDL","GEN_G2_Q40",2,"gen"
"SV_3dvkB2QWPBkdCYt","GEN_G2_Q41",2,"gen"
"SV_ahskKU5dqaqRObb","GEN_G2_Q42",2,"gen"
"SV_cAturxGg1JZFmE5","GEN_G2_Q43",2,"gen"
"SV_af9hsAZWqtzMqWN","GEN_G2_Q44",2,"gen"
"SV_73UKeLtMlIdcgAd","GEN_G2_Q45",2,"gen"
"SV_4ZM5t4qk1ATm6Ud","GEN_G2_Q46",2,"gen"
"SV_eQUZhxhqEgPJtFb","GEN_G2_Q47",2,"gen"
"SV_3lXfQCC5T96L6W9","GEN_G2_Q48",2,"gen"
"SV_3eKvIBaz7W71mmx","GEN_G2_Q49",2,"gen"
"SV_3K87NJKcYryVdgF","GEN_G2_Q50",2,"gen"
"SV_eKTVItyPYXjg6u9","GEN_G2_Q51",2,"gen"
"SV_9yoCnjeiAqmg621","GEN_G2_Q52",2,"gen"
"SV_9AnoG9r5p1kNLtr","GEN_G2_Q53",2,"gen"
"SV_20nyLqAJyhvT2Bv","GEN_G2_Q54",2,"gen"
"SV_easuG9gQ5XzSlPD","GEN_G2_Q55",2,"gen"
"SV_3UlDIhIesmKUbYx","GEOM_G2_Q01",2,"geom"
"SV_1M3carXkvWk2lpz","GEOM_G2_Q02",2,"geom"
"SV_bQQJGzMPNBODbNz","GEOM_G2_Q03",2,"geom"
"SV_eFmdTLAQFOsvMDX","GEOM_G2_Q04",2,"geom"
"SV_5BVMRRqeulpOBjD","GEOM_G2_Q05",2,"geom"
"SV_2uvtjdcEjx4LM4l","MP_G2_Q01",2,"mp"
"SV_2hQsXvAsuyx3VFH","MP_G2_Q02",2,"mp"
"SV_6V9052hKfuLA41n","MP_G2_Q03",2,"mp"
"SV_07lgWtK62mQmx5H","MP_G2_Q04",2,"mp"
"SV_bJICjxQlYC9EorX","MP_G2_Q05",2,"mp"
"SV_2314znD2Hayohp3","NS_G2_Q01",2,"ns"
"SV_a9wsm2G844jr9C5","NS_G2_Q02",2,"ns"
"SV_4IyC6ssSj3nw75j","NS_G2_Q03",2,"ns"
"SV_1zRrziLG1uqGnVX","NS_G2_Q04",2,"ns"
"SV_eKIAcfiK5nRtctT","NS_G2_Q05",2,"ns"
"SV_b7xEkAsoDkM54t7","EE_G3_Q1",3,"ee"
"SV_2nPX9qQ6Ob0k0zX","EE_G3_Q2",3,"ee"
"SV_9Ants2lbP5F3ojz","EE_G3_Q3",3,"ee"
"SV_0lfomNYhEn1QSGx","EE_G3_Q4",3,"ee"
